# Chado database date: 2024-09-30 21:55
gene_systematic_id	gene_name	synonyms	gene_product
SPNCRNA.1225			non-coding RNA
SPNCRNA.1226			non-coding RNA
SPNCRNA.1227			non-coding RNA
SPNCRNA.1228		SPNCRNA.502,SPNG2497	non-coding RNA, possible alternative UTR
SPNCRNA.1229			non-coding RNA
SPNCRNA.123			non-coding RNA
SPNCRNA.1230			non-coding RNA
SPNCRNA.1231			non-coding RNA
SPNCRNA.1232			non-coding RNA
SPNCRNA.1233			non-coding RNA
SPNCRNA.1234		prl10,SPNCRNA.10	non-coding RNA
SPNCRNA.1235		SPNCRNA.504,SPNG2511	non-coding RNA
SPNCRNA.1236			non-coding RNA
SPNCRNA.1237			non-coding RNA
SPNCRNA.1238			non-coding RNA
SPNCRNA.1239			non-coding RNA
SPNCRNA.124		SPNG671	non-coding RNA
SPNCRNA.1240			non-coding RNA
SPNCRNA.1241			non-coding RNA
SPNCRNA.1242			non-coding RNA, possible alternative UTR
SPNCRNA.1243			non-coding RNA
SPNCRNA.1244			non-coding RNA
SPNCRNA.1245			non-coding RNA
SPNCRNA.1246			non-coding RNA, possible alternative UTR
SPNCRNA.1247			non-coding RNA
SPNCRNA.1248			non-coding RNA
SPNCRNA.1249			non-coding RNA
SPNCRNA.1250			non-coding RNA
SPNCRNA.1251			non-coding RNA, possible alternative UTR
SPNCRNA.1252			non-coding RNA
SPNCRNA.1253			non-coding RNA
SPNCRNA.1255			non-coding RNA
SPNCRNA.1257			non-coding RNA
SPNCRNA.1258			non-coding RNA, possible alternative UTR
SPNCRNA.1259			non-coding RNA, possible alternative UTR
SPNCRNA.1260			non-coding RNA, possible alternative UTR
SPNCRNA.1261			non-coding RNA, possible alternative UTR
SPNCRNA.1262			non-coding RNA
SPNCRNA.1263			non-coding RNA
SPNCRNA.1264			non-coding RNA
SPNCRNA.1265			non-coding RNA
SPNCRNA.1266			non-coding RNA
SPNCRNA.1267			non-coding RNA
SPNCRNA.1268			non-coding RNA
SPNCRNA.1269			non-coding RNA
SPNCRNA.1270			non-coding RNA
SPNCRNA.1271			non-coding RNA, possible alternative UTR
SPNCRNA.1272			non-coding RNA
SPNCRNA.1273			non-coding RNA
SPNCRNA.1275			non-coding RNA
SPNCRNA.1276			non-coding RNA
SPNCRNA.1277			non-coding RNA
SPNCRNA.1278			non-coding RNA
SPNCRNA.1279			non-coding RNA
SPNCRNA.128	rrk1	K1-RNA,K2-RNA	RNase P K-RNA
SPNCRNA.1280			non-coding RNA, possible alternative UTR
SPNCRNA.1281			non-coding RNA, possible alternative UTR
SPNCRNA.1282			non-coding RNA
SPNCRNA.1283			non-coding RNA
SPNCRNA.1284			non-coding RNA
SPNCRNA.1285			non-coding RNA
SPNCRNA.1286			non-coding RNA
SPNCRNA.1287			non-coding RNA, possible alternative UTR
SPNCRNA.1288			non-coding RNA
SPNCRNA.1289			non-coding RNA
SPNCRNA.1290			non-coding RNA
SPNCRNA.1292			non-coding RNA
SPNCRNA.1293		SPNCRNA.523	non-coding RNA, LTR-associated
SPNCRNA.1294			non-coding RNA
SPNCRNA.1296			non-coding RNA
SPNCRNA.1297			non-coding RNA, possible alternative UTR
SPNCRNA.1298			non-coding RNA
SPNCRNA.1299			non-coding RNA
SPNCRNA.13	prl13		non-coding RNA, poly(A)-bearing
SPNCRNA.130	omt3	SPNCRNA.994	meiosis specific Smp foci lncRNA Omt3
SPNCRNA.1301			non-coding RNA
SPNCRNA.1302			non-coding RNA
SPNCRNA.1303		SPNCRNA.289,SPNG1100	non-coding RNA
SPNCRNA.1304			non-coding RNA
SPNCRNA.1305			non-coding RNA
SPNCRNA.1306			non-coding RNA
SPNCRNA.1307			non-coding RNA
SPNCRNA.1309			non-coding RNA
SPNCRNA.131	tos2	rec7-antisense-4	non-coding RNA
SPNCRNA.1310			non-coding RNA
SPNCRNA.1312			non-coding RNA
SPNCRNA.1313			non-coding RNA
SPNCRNA.1314			non-coding RNA, possible alternative UTR
SPNCRNA.1315			non-coding RNA
SPNCRNA.1316			non-coding RNA
SPNCRNA.1317			non-coding RNA
SPNCRNA.1318			non-coding RNA
SPNCRNA.1319			non-coding RNA
SPNCRNA.132		tos3	non-coding RNA
SPNCRNA.1320			non-coding RNA
SPNCRNA.1321			non-coding RNA
SPNCRNA.1322			non-coding RNA
SPNCRNA.1323			non-coding RNA
SPNCRNA.1324			non-coding RNA
SPNCRNA.1325	fbp1-ot3		fbp1 upstream regulatory lncRNA c
SPNCRNA.1326	fbp1-ot2		fbp1 upstream regulatory lncRNA b
SPNCRNA.1327			non-coding RNA
SPNCRNA.1328			non-coding RNA
SPNCRNA.1329			non-coding RNA
SPNCRNA.133			non-coding RNA
